ID,Name,Manufacturer,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Maintenance,actual cost
4340,Innova Crysta,Toyota,2016,54000,Diesel,Manual,1,2393,147.8,7,13.68,1650000.0,55000,1999000
4341,Ciaz ZDi,Maruti,2016,54268,Diesel,Manual,1,1248,88.5,5,28.09,767000.0,32235,1030000
4342,XF Diesel,Jaguar,2012,94521,Diesel,Automatic,1,2993,270.9,5,14.74,2319000.0,350000,6200000
4343,Xcent 1.2,Hyundai,2017,38932,Petrol,Manual,1,1197,82.0,5,19.1,621000.0,25000,700000
4344,Cayenne Diesel,Porsche,2015,60395,Diesel,Automatic,1,2967,245.0,5,16.12,4582000.0,1100000,16000000
4345,Xcent 1.1,Hyundai,2016,29000,Diesel,Manual,1,1120,71.0,5,24.4,595000.0,25000,700000
4346,A4 2.0,Audi,2011,58000,Diesel,Automatic,1,1968,140.0,5,16.55,1100000.0,275000,5000000
4347,Ciaz RS,Maruti,2016,60913,Petrol,Manual,1,1373,91.1,5,20.73,719000.0,32235,1030000
4348,Innova 2.5,Toyota,2011,65000,Diesel,Manual,1,2494,102.0,8,12.8,640000.0,85000,2000000
4349,New C-Class,MercedesBenz,2015,26000,Diesel,Manual,1,2148,170.0,5,15.8,2600000.0,650000,7000000
4350,i10 Sportz,Hyundai,2016,19947,Petrol,Manual,1,1197,78.9,5,20.36,450000.0,22600,725000
4351,i10 Sportz,Hyundai,2011,70816,Petrol,Automatic,1,1197,78.9,5,16.95,310000.0,22600,725000
4352,Baleno Zeta,Maruti,2015,54000,Diesel,Manual,1,1248,74.0,5,27.39,595000.0,32000,825000
4353,Zen Estilo,Maruti,2008,138000,Petrol,Manual,1,1061,64.0,5,18.2,120000.0,20000,400000
4354,7 Series,BMW,2014,35000,Diesel,Automatic,1,2993,258.0,5,16.46,5200000.0,800000,18000000
4355,Q7 4.2,Audi,2015,50000,Diesel,Automatic,1,4134,335.2,7,11.33,4800000.0,345000,8000000
4356,X5 xDrive,BMW,2011,124652,Diesel,Automatic,1,2993,245.0,5,11.7,2199000.0,600000,10500000
4357,Ritz LXI,Maruti,2013,80264,Petrol,Manual,1,1197,85.8,5,21.1,430000.0,25000,650000
4358,Sunny 2011-2014,Nissan,2013,125600,Diesel,Manual,1,1461,84.8,5,21.64,375000.0,35000,900000
4359,Corolla Altis,Toyota,2015,49000,Petrol,Manual,1,1798,138.03,5,14.28,894999.9999999999,50000,1600000
4360,Etios VXD,Toyota,2012,111000,Diesel,Manual,1,1364,67.1,5,23.59,475000.0,25000,700000
4361,Corolla Altis,Toyota,2016,33690,Petrol,Manual,1,1798,138.03,5,14.28,1460000.0,50000,1600000
4362,A6 2011-2015,Audi,2012,50000,Diesel,Automatic,1,1968,174.33,5,17.68,1750000.0,350000,6500000
4363,Ertiga ZDI,Maruti,2012,38092,Diesel,Manual,1,1248,88.8,7,20.77,520000.0,49850,1050000
4364,Grand i10,Hyundai,2017,47774,Petrol,Manual,1,1197,82.0,5,18.9,604000.0,22600,725000
4365,Indigo CS,Tata,2009,167000,Diesel,Manual,2,1396,69.0,5,19.09,270000.0,30000,600000
4366,Swift Dzire,Maruti,2019,65000,Diesel,Automatic,1,1248,74.0,5,26.59,675000.0,39160,850000
4367,Polo Petrol,Volkswagen,2011,46000,Petrol,Manual,1,1598,103.5,5,15.26,235000.0,31360,800000
4368,Tiago 1.2,Tata,2017,16500,Petrol,Manual,1,1199,84.0,5,23.84,500000.0,20990,625000
4369,City i,Honda,2016,39000,Petrol,Manual,1,1497,117.3,5,17.8,695000.0,36600,1425000
4370,Amaze V,Honda,2018,6000,Petrol,Manual,1,1199,86.76,5,19.5,670000.0,30310,889000
4371,A4 35,Audi,2015,60000,Diesel,Automatic,1,1968,174.33,5,17.11,2500000.0,325000,5500000
4372,Vento Petrol,Volkswagen,2011,97320,Petrol,Automatic,1,1598,103.6,5,14.4,375000.0,35484,1300000
4373,Vento Diesel,Volkswagen,2011,99807,Diesel,Manual,1,1598,103.6,5,20.54,375000.0,35484,1300000
4374,City 1.5,Honda,2013,46000,Petrol,Manual,1,1497,118.0,5,17.0,509999.99999999994,36600,1425000
4375,Wagon R,Maruti,2010,12000,Petrol,Manual,1,998,67.04,5,22.5,245000.00000000003,27670,750000
4376,Superb 2.8,Skoda,2005,13002,Petrol,Automatic,1,2771,193.1,5,9.3,325000.0,250000,5400000
4377,City i,Honda,2014,26000,Diesel,Manual,1,1498,98.6,5,26.0,550000.0,36600,1425000
4378,Wagon R,Maruti,2014,68365,CNG,Manual,1,998,58.16,5,26.6,377000.0,27670,750000
4379,M-Class ML,MercedesBenz,2016,27833,Diesel,Automatic,1,2987,165.0,5,0.0,4924000.0,600000,6000000
4380,Alto 800,Maruti,2016,51639,Petrol,Manual,1,796,47.3,5,22.74,304000.0,20000,400000
4381,i20 Magna,Hyundai,2015,21000,Petrol,Manual,1,1197,81.83,5,18.6,490000.00000000006,27500,725000
4382,Ecosport 1.5,Ford,2013,90000,Diesel,Manual,1,1498,89.84,5,22.7,625000.0,47435,1100000
4383,3 Series,BMW,2015,36255,Diesel,Automatic,1,1995,184.0,5,19.59,3300000.0,450000,5500000
4384,X5 xDrive,BMW,2011,58000,Diesel,Automatic,2,2993,245.0,5,11.7,2700000.0,600000,10500000
4385,Amaze S,Honda,2014,48997,Petrol,Manual,2,1198,86.7,5,18.0,521000.0,30310,889000
4386,EcoSport 1.5,Ford,2014,31130,Petrol,Manual,1,1499,110.4,5,15.85,575000.0,35924,1100000
4387,XF 3.0,Jaguar,2012,75668,Diesel,Automatic,1,2993,270.9,5,14.74,1657999.9999999998,350000,6200000
4388,Corolla 1.8,Toyota,2015,12000,Petrol,Manual,1,1798,138.0,5,14.53,1100000.0,50000,1600000
4389,i10 Sportz,Hyundai,2014,90000,Petrol,Manual,2,1197,78.9,5,20.36,280000.0,22600,725000
4390,New C-Class,MercedesBenz,2019,17320,Diesel,Automatic,1,2148,170.0,5,15.8,3799000.0,650000,7000000
4391,Laura Ambiente,Skoda,2011,85000,Diesel,Manual,2,1968,108.5,5,20.0,365000.0,75000,1700000
4392,Endeavour 4x2,Ford,2007,130000,Diesel,Manual,1,2499,141.0,7,13.1,600000.0,1500000,3600000
4393,Figo Petrol,Ford,2013,60328,Petrol,Manual,1,1196,70.0,5,15.6,454000.0,34697,700000
4394,Amaze S,Honda,2015,34327,Petrol,Manual,1,1198,86.7,5,18.0,540000.0,30310,889000
4395,Indica Vista,Tata,2014,75000,Diesel,Manual,1,1405,70.0,5,19.1,330000.0,25000,500000
4396,XC60 D4,Volvo,2012,86000,Diesel,Automatic,2,1985,163.0,5,14.7,1825000.0,500000,7000000
4397,Redi GO,Datsun,2017,12000,Petrol,Manual,1,799,53.0,5,22.7,310000.0,20000,500000
4398,EON Era,Hyundai,2013,57759,Petrol,Manual,1,814,55.2,5,21.1,384000.0,25000,400000
4399,Alto 800,Maruti,2016,24300,Petrol,Manual,1,796,47.3,5,22.74,244000.0,20000,400000
4400,Polo Petrol,Volkswagen,2011,66000,Petrol,Manual,2,1198,73.9,5,16.47,360000.0,31360,800000
4401,i10 Asta,Hyundai,2015,75915,Petrol,Manual,1,1197,78.9,5,20.36,390000.0,22600,725000
4402,Sunny 2011-2014,Nissan,2013,107000,Petrol,Manual,2,1498,97.7,5,16.95,290000.0,35000,900000
4403,Corolla Altis,Toyota,2008,86000,Petrol,Manual,2,1798,138.1,5,14.53,350000.0,50000,1600000
4404,Verna CRDi,Hyundai,2009,160000,Diesel,Manual,2,1493,110.0,5,18.1,350000.0,37450,1425000
4405,Alto 800,Maruti,2019,3000,Petrol,Manual,1,796,47.3,5,24.7,350000.0,20000,400000
4406,i20 Sportz,Hyundai,2015,72495,Diesel,Manual,1,1396,88.76,5,21.9,700000.0,27500,725000
4407,Verna 1.6,Hyundai,2016,33000,Diesel,Automatic,1,1582,126.2,5,19.08,869999.9999999999,37450,1425000
4408,Q7 3.0,Audi,2014,60000,Diesel,Automatic,1,2967,241.4,7,12.07,4500000.0,345000,8000000
4409,Indica V2,Tata,2016,80103,Diesel,Manual,1,1396,69.0,5,25.0,180000.0,25000,500000
4410,Spark 1.0,Chevrolet,2007,42100,Petrol,Manual,1,995,62.0,5,18.0,99000.0,17000,450000
4411,Grand i10,Hyundai,2018,4500,Petrol,Manual,1,1197,81.86,5,18.9,480000.0,22600,725000
4412,Fortuner 4x4,Toyota,2014,97000,Diesel,Manual,1,2982,169.0,7,12.55,1795000.0,180000,4500000
4413,Grand i10,Hyundai,2017,51223,Petrol,Manual,1,1197,81.86,5,18.9,566000.0,22600,725000
4414,City 1.5,Honda,2009,64000,Petrol,Manual,1,1497,118.0,5,17.0,310000.0,36600,1425000
4415,Elite i20,Hyundai,2016,56911,Petrol,Manual,1,1197,81.86,5,18.6,654000.0,27500,725000
4416,Innova 2.5,Toyota,2015,147848,Diesel,Manual,1,2494,102.0,8,12.8,1320000.0,85000,2000000
4417,Mustang V8,Ford,2018,21290,Petrol,Automatic,1,4951,395.0,4,13.0,5680000.0,200000,7500000
4418,Innova Crysta,Toyota,2019,14076,Diesel,Automatic,1,2755,171.5,7,11.36,1939999.9999999998,55000,1999000
4419,Zen Estilo,Maruti,2007,75180,Petrol,Manual,1,1061,64.0,5,18.2,165000.0,20000,400000
4420,Swift ZDi,Maruti,2013,92000,Diesel,Manual,2,1248,74.0,5,22.9,434999.99999999994,39160,775000
4421,Avventura MULTIJET,Fiat,2015,57266,Diesel,Manual,1,1248,91.72,5,20.5,650000.0,35000,800000
4422,Zen Estilo,Maruti,2007,64000,Petrol,Manual,1,998,67.1,5,18.2,111000.00000000001,20000,400000
4423,Duster 85PS,Renault,2013,41000,Diesel,Manual,1,1461,83.8,5,19.87,550000.0,35700,1250000
4424,Pajero 2.8,Mitsubishi,2012,45999,Diesel,Manual,1,2835,107.2,6,10.5,1100000.0,200000,3000000
4425,Celerio VXI,Maruti,2015,50000,Petrol,Automatic,1,998,67.04,5,23.1,390000.0,27930,620000
4426,Indica V2,Tata,2013,70000,Diesel,Manual,1,1405,48.21,5,17.88,180000.0,25000,500000
4427,Elite i20,Hyundai,2016,37540,Petrol,Manual,1,1197,81.86,5,18.6,622000.0,27500,725000
4428,Celerio VXI,Maruti,2014,44000,Petrol,Automatic,1,998,67.04,5,23.1,430000.0,27930,620000
4429,Grand i10,Hyundai,2017,22500,Petrol,Manual,1,1197,81.86,5,18.9,599000.0,22600,725000
4430,i20 1.2,Hyundai,2017,17431,Petrol,Manual,1,1197,81.83,5,18.6,600000.0,27500,725000
4431,Verna 1.6,Hyundai,2014,61566,Petrol,Manual,1,1591,121.3,5,17.1,585000.0,33350,1425000
4432,Rover Freelander,Land,2014,61730,Diesel,Automatic,1,2179,147.51,5,12.39,1994000.0000000002,250000,5000000
4433,Swift VXI,Maruti,2009,68000,Petrol,Manual,1,1298,88.2,5,16.1,290000.0,39160,775000
4434,Amaze SX,Honda,2014,29000,Petrol,Manual,1,1198,86.7,5,18.0,425000.0,30310,889000
4435,Corolla Altis,Toyota,2010,156210,Diesel,Manual,1,1364,87.2,5,21.43,599000.0,50000,1600000
4436,Amaze S,Honda,2013,46500,Diesel,Manual,1,1498,98.6,5,27.4,330000.0,42830,889000
4437,A6 3.0,Audi,2009,52830,Diesel,Automatic,2,2967,241.38,5,16.77,808000.0,375000,6500000
4438,Wagon R,Maruti,2017,39867,Petrol,Manual,1,998,67.04,5,22.5,450000.0,27670,750000
4439,Mobilio E,Honda,2014,58972,Diesel,Manual,1,1498,98.6,7,24.2,650000.0,40000,1000000
4440,CR-V 2.4,Honda,2006,66000,Petrol,Automatic,2,2354,152.0,5,10.1,390000.0,140000,3000000
4441,Verna 1.6,Hyundai,2013,52000,Petrol,Manual,1,1591,121.3,5,17.1,525000.0,33350,1425000
4442,Santa Fe,Hyundai,2014,58000,Diesel,Automatic,1,2199,194.3,7,11.72,1700000.0,100000,3200000
4443,i10 Sportz,Hyundai,2012,58000,Petrol,Automatic,1,1197,78.9,5,16.95,350000.0,22600,725000
4444,Fusion Plus,Ford,2008,75000,Diesel,Manual,2,1399,68.0,5,17.7,300000.0,25000,600000
4445,i10 Sportz,Hyundai,2015,41008,Petrol,Manual,2,1197,78.9,5,20.36,487000.0,22600,725000
4446,Xcent 1.1,Hyundai,2014,65000,Diesel,Manual,1,1120,71.0,5,24.4,600000.0,25000,700000
4447,Superb Style,Skoda,2015,19000,Diesel,Automatic,1,1968,174.5,5,18.19,1550000.0,250000,5400000
4448,Fiesta 1.4,Ford,2008,74000,Petrol,Manual,2,1388,68.0,5,16.6,160000.0,35000,900000
4449,Baleno Zeta,Maruti,2017,33000,Petrol,Automatic,1,1197,83.1,5,21.4,725000.0,32000,825000
4450,Laura 1.9,Skoda,2010,95000,Diesel,Manual,2,1896,105.0,5,17.0,325000.0,75000,1700000
4451,Vento 1.5,Volkswagen,2012,34000,Diesel,Manual,1,1498,108.5,5,20.64,340000.0,35484,1300000
4452,Q7 3.0,Audi,2014,102865,Diesel,Automatic,1,2967,241.4,7,12.07,3050000.0,345000,8000000
4453,Verna VTVT,Hyundai,2016,52378,Petrol,Manual,1,1591,121.3,5,17.0,797000.0,33350,1425000
4454,New C-Class,MercedesBenz,2012,38000,Diesel,Automatic,1,2143,170.0,5,14.84,1351000.0,650000,7000000
4455,Amaze S,Honda,2015,60334,Diesel,Manual,1,1498,98.6,5,25.8,543000.0,42830,889000
4456,Fiesta 1.4,Ford,2010,107000,Petrol,Manual,1,1388,68.0,5,16.6,260000.0,35000,900000
4457,i20 Magna,Hyundai,2013,445000,Petrol,Manual,1,1197,82.9,5,18.5,445000.0,27500,725000
4458,Alto 800,Maruti,2017,2196,Petrol,Manual,1,796,47.3,5,22.74,275000.0,20000,400000
4459,5 Series,BMW,2010,24000,Petrol,Automatic,1,2996,258.0,5,10.6,875000.0,500000,7200000
4460,Grande Punto,Fiat,2015,44846,Petrol,Manual,2,1368,88.7,5,14.6,541000.0,35000,800000
4461,Dzire AMT,Maruti,2018,64035,Diesel,Automatic,1,1248,73.75,5,28.4,855000.0000000001,39160,850000
4462,XUV500 W6,Mahindra,2014,45600,Diesel,Manual,1,2179,140.0,7,15.1,825000.0,37637,1600000
4463,XC90 2007-2015,Volvo,2014,102001,Diesel,Automatic,1,2400,200.0,7,11.1,2358000.0,700000,10100000
4464,i10 Sportz,Hyundai,2014,47439,Petrol,Manual,1,1197,78.9,5,20.36,449000.0,22600,725000
4465,Fortuner 3.0,Toyota,2010,193254,Diesel,Manual,1,2982,171.0,7,11.5,1299000.0,180000,4500000
4466,Nano XTA,Tata,2016,29000,Petrol,Automatic,1,624,37.48,4,21.9,280000.0,12000,250000
4467,Lodgy 110PS,Renault,2016,51681,Diesel,Manual,1,1461,108.5,8,19.98,843000.0,50000,1100000
4468,Q7 3.0,Audi,2015,50000,Diesel,Automatic,1,2967,241.4,7,12.07,4750000.0,345000,8000000
4469,City i,Honda,2016,42666,Petrol,Automatic,1,1497,117.3,5,18.0,894999.9999999999,36600,1425000
4470,Duster 110PS,Renault,2013,65000,Diesel,Manual,2,1461,108.45,5,19.01,550000.0,35700,1250000
4471,Amaze S,Honda,2014,18776,Petrol,Manual,1,1198,86.7,5,17.8,475000.0,30310,889000
4472,Amaze S,Honda,2016,6714,Petrol,Manual,1,1198,86.7,5,18.0,475000.0,30310,889000
4473,3 Series,BMW,2009,40000,Petrol,Automatic,2,1995,154.0,5,12.05,950000.0,450000,5500000
4474,Ritz LDi,Maruti,2011,88539,Diesel,Manual,1,1248,73.94,5,23.2,377000.0,25000,650000
4475,City 1.5,Honda,2012,65055,Petrol,Manual,2,1497,118.0,5,17.0,425000.0,36600,1425000
4476,3 Series,BMW,2014,23000,Diesel,Automatic,1,1995,184.0,5,18.88,1989999.9999999998,450000,5500000
4477,Jetta 2007-2011,Volkswagen,2009,60000,Diesel,Manual,1,1896,105.0,5,15.0,400000.0,65000,1800000
4478,Swift Dzire,Maruti,2013,59350,Petrol,Manual,1,1197,85.8,5,19.1,416000.0,39160,850000
4479,XF 2.2,Jaguar,2015,19000,Diesel,Automatic,2,2179,187.7,5,16.36,3800000.0,350000,6200000
4480,Xcent 1.2,Hyundai,2016,45560,Petrol,Automatic,1,1197,82.0,5,16.9,634000.0,25000,700000
4481,Innova 2.5,Toyota,2009,118000,Diesel,Manual,1,2494,102.0,8,12.8,450000.0,85000,2000000
4482,Eeco 7,Maruti,2016,55000,Petrol,Manual,1,1196,73.0,7,15.1,375000.0,25000,600000
4483,A4 New,Audi,2012,60000,Diesel,Automatic,2,1968,140.8,5,15.2,1019999.9999999999,325000,5500000
4484,Innova 2.5,Toyota,2007,145000,Diesel,Manual,1,2494,102.0,8,12.8,500000.0,85000,2000000
4485,Grand Vitara,Maruti,2008,46810,Petrol,Manual,1,1995,163.5,5,9.8,395000.0,60000,1500000
4486,Vento 1.5,Volkswagen,2016,62767,Diesel,Manual,1,1498,103.2,5,20.34,975000.0,35484,1300000
4487,Elite i20,Hyundai,2018,18553,Petrol,Manual,1,1197,81.86,5,18.6,793000.0,27500,725000
4488,Fiesta Classic,Ford,2011,143143,Diesel,Manual,1,1399,67.0,5,17.8,210000.0,35000,900000
4489,Pajero Sport,Mitsubishi,2015,53497,Diesel,Manual,1,2477,175.56,7,13.5,1642000.0000000002,200000,3000000
4490,Santa Fe,Hyundai,2011,148000,Diesel,Manual,2,2199,194.3,7,14.66,890000.0,100000,3200000
4491,XUV500 W8,Mahindra,2012,95000,Diesel,Manual,1,2179,140.0,7,15.1,721000.0,37637,1600000
4492,Innova 2.5,Toyota,2015,100000,Diesel,Manual,1,2494,102.0,8,12.8,1350000.0,85000,2000000
4493,GLE 350d,MercedesBenz,2016,29000,Diesel,Automatic,1,2987,254.79,5,11.57,6500000.0,500000,5500000
4494,Scorpio 2009-2014,Mahindra,2014,87000,Diesel,Manual,1,2179,120.0,7,12.05,740000.0,60000,1500000
4495,City 1.5,Honda,2014,56838,Petrol,Automatic,1,1497,118.0,5,16.8,515000.00000000006,36600,1425000
4496,GL-Class 2007,MercedesBenz,2013,100000,Diesel,Automatic,1,2987,224.0,7,12.0,3200000.0,500000,5500000
4497,City 1.5,Honda,2011,125000,Petrol,Manual,1,1497,118.0,5,17.0,325000.0,36600,1425000
4498,Wagon R,Maruti,2017,17000,Petrol,Automatic,1,998,67.0,5,22.5,395000.0,27670,750000
4499,Indigo eCS,Tata,2013,70000,Petrol,Manual,2,1193,65.0,5,15.4,150000.0,30000,600000
4500,i20 2015-2017,Hyundai,2010,50000,Petrol,Manual,2,1197,80.0,5,17.0,300000.0,27500,725000
4501,Jazz Active,Honda,2010,39800,Petrol,Manual,1,1198,90.0,5,16.0,199000.0,32446,900000
4502,A-Star Lxi,Maruti,2010,60000,Petrol,Manual,1,998,66.1,5,19.0,135000.0,20000,400000
4503,3 Series,BMW,2009,58000,Diesel,Automatic,1,1995,181.0,5,16.07,1350000.0,450000,5500000
4504,Yeti Elegance,Skoda,2010,110009,Diesel,Manual,1,1968,138.08,5,17.67,699000.0,80000,2200000
4505,Terrano XV,Nissan,2013,85000,Diesel,Manual,1,1461,108.5,5,19.01,850000.0,60000,1200000
4506,Polo Diesel,Volkswagen,2010,84000,Diesel,Manual,2,1199,73.9,5,22.07,289000.0,31360,800000
4507,3 Series,BMW,2011,51000,Diesel,Automatic,1,1995,190.0,5,22.69,1050000.0,450000,5500000
4508,Sunny 2011-2014,Nissan,2013,68880,Petrol,Manual,1,1498,97.7,5,16.95,397000.0,35000,900000
4509,Alto K10,Maruti,2017,5500,Petrol,Automatic,1,998,67.1,5,24.07,425000.0,20000,400000
4510,Ritz ZXI,Maruti,2016,40052,Petrol,Manual,1,1197,85.8,5,21.1,617000.0,25000,650000
4511,Q5 30,Audi,2016,47293,Diesel,Automatic,1,1968,174.3,5,14.16,3872000.0,310000,6000000
4512,Verna CRDi,Hyundai,2013,79663,Diesel,Manual,1,1493,110.0,5,16.8,650000.0,37450,1425000
4513,Amaze S,Honda,2013,63000,Diesel,Manual,2,1498,98.6,5,25.8,425000.0,42830,889000
4514,City i,Honda,2014,45000,Diesel,Manual,1,1498,98.6,5,26.0,475000.0,36600,1425000
4515,Fortuner TRD,Toyota,2014,56501,Diesel,Automatic,1,2755,174.5,7,12.9,1771000.0,180000,4500000
4516,Vento 1.5,Volkswagen,2015,58000,Diesel,Manual,1,1498,103.2,5,20.34,585000.0,35484,1300000
4517,5 Series,BMW,2011,51602,Diesel,Automatic,1,1995,190.0,5,22.48,1727000.0,500000,7200000
4518,3 Series,BMW,2007,74199,Diesel,Automatic,1,1995,181.0,5,16.07,925000.0,450000,5500000
4519,Creta 1.6,Hyundai,2017,25000,Petrol,Automatic,1,1591,121.3,5,13.0,1275000.0,38536,1500000
4520,3 Series,BMW,2016,70000,Diesel,Automatic,2,1995,190.0,5,21.76,2700000.0,450000,5500000
4521,New C-Class,MercedesBenz,2013,25000,Diesel,Automatic,2,2143,167.62,5,14.84,2100000.0,650000,7000000
4522,Swift Dzire,Maruti,2017,22000,Diesel,Manual,1,1248,74.0,5,26.59,795000.0,39160,850000
4523,Celerio ZXI,Maruti,2015,47020,Petrol,Manual,2,998,67.04,5,23.1,450000.0,27930,620000
4524,3 Series,BMW,2017,8000,Diesel,Automatic,1,1995,187.74,5,19.59,3375000.0,450000,5500000
4525,Q7 4.2,Audi,2010,73000,Diesel,Automatic,1,4134,335.2,7,11.33,1751000.0000000002,345000,8000000
4526,Jazz V,Honda,2017,36973,Petrol,Manual,1,1199,88.7,5,18.2,680000.0,32446,900000
4527,Nano Cx,Tata,2014,42083,Petrol,Manual,1,624,37.48,4,25.4,168000.0,12000,250000
4528,Alto 800,Maruti,2016,61000,Petrol,Manual,1,796,47.3,5,24.7,290000.0,20000,400000
4529,Wagon R,Maruti,2014,43628,Petrol,Manual,1,998,67.04,5,22.5,316000.0,27670,750000
4530,Xcent 1.1,Hyundai,2014,60000,Diesel,Manual,1,1120,71.0,5,24.4,390000.0,25000,700000
4531,Beat LT,Chevrolet,2010,54000,Petrol,Manual,2,1199,76.8,5,17.8,195000.0,16500,500000
4532,XF 2.2,Jaguar,2015,27001,Diesel,Automatic,1,2179,187.7,5,16.36,2652000.0,350000,6200000
4533,Passat Diesel,Volkswagen,2010,52000,Diesel,Automatic,1,1968,167.7,5,18.33,900000.0,150000,3200000
4534,i20 Asta,Hyundai,2012,80000,Diesel,Manual,1,1396,88.76,5,21.27,450000.0,27500,725000
4535,Pajero 2.8,Mitsubishi,2008,160000,Diesel,Manual,1,2835,107.2,6,10.5,875000.0,200000,3000000
4536,Vitara Brezza,Maruti,2018,3300,Diesel,Automatic,1,1248,88.5,5,24.3,1150000.0,39170,1125000
4537,Alto K10,Maruti,2016,35027,Petrol,Manual,1,998,67.1,5,24.07,300000.0,20000,400000
4538,EON Magna,Hyundai,2015,26568,Petrol,Manual,1,814,55.2,5,21.1,379000.0,25000,400000
4539,Ciaz VDi,Maruti,2015,59000,Diesel,Manual,1,1248,88.5,5,28.09,600000.0,32235,1030000
4540,Creta 1.6,Hyundai,2016,51000,Diesel,Manual,1,1582,126.2,5,19.67,1325000.0,38536,1500000
4541,Superb Ambition,Skoda,2012,56400,Diesel,Automatic,1,1968,138.1,5,17.2,800000.0,250000,5400000
4542,Polo 1.5,Volkswagen,2015,80000,Diesel,Manual,1,1498,88.8,5,20.14,580000.0,31360,800000
4543,Innova 2.5,Toyota,2013,107000,Diesel,Manual,2,2494,100.6,7,12.99,1350000.0,85000,2000000
4544,E-Class 2009-2013,MercedesBenz,2014,100000,Diesel,Automatic,1,2143,203.0,5,14.21,2500000.0,600000,8000000
4545,Polo 1.5,Volkswagen,2016,59998,Diesel,Manual,1,1498,88.8,5,20.14,549000.0,31360,800000
4546,Q3 2.0,Audi,2013,105000,Diesel,Automatic,1,1968,150.0,5,17.32,1900000.0,225000,3500000
4547,i20 1.2,Hyundai,2011,36000,Petrol,Manual,1,1197,80.0,5,18.5,250000.0,27500,725000
4548,i10 Sportz,Hyundai,2015,24350,Petrol,Manual,2,1086,68.05,5,19.81,300000.0,22600,725000
4549,Tigor 1.05,Tata,2018,28973,Diesel,Manual,1,1047,69.0,5,24.7,664000.0,18500,720000
4550,EON Era,Hyundai,2017,8243,Petrol,Manual,1,814,55.2,5,21.1,321000.0,25000,400000
4551,Santro Xing,Hyundai,2009,136642,Petrol,Manual,2,1086,62.1,5,17.92,155000.0,26130,500000
4552,Santro Xing,Hyundai,2011,60000,Petrol,Manual,1,1086,62.1,5,17.92,259000.0,26130,500000
4553,Scorpio SLX,Mahindra,2008,100000,Diesel,Manual,2,2609,120.0,8,12.7,400000.0,60000,1500000
4554,City i-VTEC,Honda,2010,48689,Petrol,Manual,1,1497,117.3,5,17.4,387000.0,36600,1425000
4555,Vitara Brezza,Maruti,2017,45000,Diesel,Manual,1,1248,88.5,5,24.3,975000.0,39170,1125000
4556,A4 35,Audi,2019,38163,Diesel,Automatic,1,1968,174.33,5,17.11,3290999.9999999995,325000,5500000
4557,E-Class 2009-2013,MercedesBenz,2011,43800,Diesel,Automatic,2,2143,203.0,5,14.21,1675000.0,600000,8000000
4558,Civic 2006-2010,Honda,2007,92000,Petrol,Manual,1,1799,130.0,5,13.5,190000.0,36600,1425000
4559,i20 Magna,Hyundai,2017,14064,Petrol,Manual,1,1197,81.83,5,18.6,659000.0,27500,725000
4560,Q3 35,Audi,2017,42366,Diesel,Automatic,1,1968,174.33,5,15.73,3193000.0,225000,3500000
4561,City i,Honda,2014,76551,Diesel,Manual,1,1498,98.6,5,25.1,725000.0,36600,1425000
4562,i10 Era,Hyundai,2008,72672,Petrol,Manual,1,1086,68.05,5,19.81,190000.0,22600,725000
4563,Swift VDI,Maruti,2015,45000,Diesel,Manual,1,1248,74.0,5,25.2,355000.0,39160,775000
4564,Endeavour 3.0L,Ford,2012,91696,Diesel,Automatic,1,2953,153.86,7,11.4,925000.0,1500000,3600000
4565,Ikon 1.3,Ford,2009,66484,Petrol,Manual,1,1299,70.0,5,13.8,165000.0,25000,600000
4566,X1 sDrive,BMW,2019,15456,Diesel,Automatic,1,1995,190.0,5,20.68,3664000.0,350000,5000000
4567,E-Class 2009-2013,MercedesBenz,2011,55000,Diesel,Automatic,2,2143,203.0,5,14.21,1600000.0,600000,8000000
4568,Eeco 5,Maruti,2019,21112,CNG,Manual,1,1196,73.0,5,15.1,538000.0,25000,600000
4569,Amaze S,Honda,2014,61297,Diesel,Manual,1,1498,98.6,5,25.8,434999.99999999994,42830,889000
4570,Zen LXi,Maruti,2006,80000,Petrol,Manual,2,993,60.0,5,17.3,120000.0,20000,400000
4571,i20 Magna,Hyundai,2013,59000,Petrol,Manual,2,1197,80.0,5,18.5,409999.99999999994,27500,725000
4572,X5 3.0d,BMW,2009,150000,Diesel,Automatic,1,2993,235.0,5,11.0,1875000.0,525000,9500000
4573,Creta 1.6,Hyundai,2017,60083,Diesel,Manual,1,1582,126.2,5,19.67,1378000.0,38536,1500000
4574,Swift Dzire,Maruti,2016,85450,Diesel,Manual,1,1248,74.0,5,26.59,400000.0,39160,850000
4575,Swift VDI,Maruti,2013,88000,Diesel,Manual,1,1248,74.0,5,22.9,433000.0,39160,775000
4576,Grand i10,Hyundai,2015,81828,Diesel,Manual,1,1186,73.97,5,24.0,543000.0,28000,725000
4577,Figo Aspire,Ford,2016,18000,Petrol,Manual,1,1196,86.8,5,18.16,490000.00000000006,34697,800000
4578,X5 X5,BMW,2017,15000,Diesel,Automatic,1,2993,258.0,5,15.97,7000000.0,575000,9900000
4579,New C-Class,MercedesBenz,2016,34000,Diesel,Automatic,1,2143,167.62,5,11.78,2550000.0,650000,7000000
